StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q27,Q28,Q1,Q2,Q2_3_TEXT,Q3,Q17,Q20,Q13,Q14,Q20,Q4,Q5,Q9,Q6,Q7,Q7_4_TEXT,Q8,Q22,Q23,Q10,Q12,Q15,Q25,Q26,Q18,Q18_13_TEXT,Q19,Q21,Q21_8_TEXT,Q29,Q14 - Topics,Q14 - Parent Topics
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,In what country is your library located?,In what province/state/territory is your library located? (if applicable)?,Does your library currently have a makerspace?,Is the library you represent an academic or public library? - Selected Choice,Is the library you represent an academic or public library? - Other - Text,Please select the option that best describes your library:,"When did your library first establish its makerspace? (If only year is known, put year)",Do you offer instruction for the usage of equipment for the makerspace?,Do you charge fees to use the makerspace?,Can you briefly describe your fee structure?,Approximately how many hours per week is the makerspace open?,"Is your makerspace restricted to a specific patron type? (children, teens, etc.)",Please list patron types who have access to the makerspace.,Is the institution you represent designated as private or public?,Please select the option that best describes your academic institution:,Please indicate which type of special focus institution you represent: - Selected Choice,Please indicate which type of special focus institution you represent: - Other - Text,Please provide an estimate of your institution's full-time equivalent (FTE).,Do you have an assigned campus liaison for the makerspace?,Select the position that best describes your campus liaison:,Is your makerspace restricted to certain group of patrons? (e.g. students only),Please specify what group(s) may use the makerspace:,"Is your makerspace funded, either partially or in full, by a library fee?","Is your makerspace funded, either partially or in full, by a university technology fee?","Is your makerspace funded by any other fees? If so, please describe the fee below:",What services/technology do you provide in your makerspace? (Check all that apply) - Selected Choice,What services/technology do you provide in your makerspace? (Check all that apply) - Other - Text,Please list any open source software/hardware you use in your makerspace:,What kind of staffing structure does your makerspace have? (check all that apply) - Selected Choice,What kind of staffing structure does your makerspace have? (check all that apply) - Other - Text,What methods are used to assess the usage of the makerspace?,Q14 - Topics,Q14 - Parent Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_3_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_4_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_13_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID21_8_TEXT""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID14_TEXT_dfa8747f984f438cb22e3054Topics""}","{""ImportId"":""QID14_TEXT_dfa8747f984f438cb22e3054ParTopics""}"
8/14/19 12:13,8/14/19 12:13,IP Address,100,26,TRUE,8/14/19 12:13,R_1nW9oBAzoSy0W7b,anonymous,EN,United States,Illinois,No,Public,,"Small (Collection Size > 30,000 and < 100,000)",,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/19 12:13,8/14/19 12:14,IP Address,100,48,TRUE,8/14/19 12:14,R_2VyGMsnUf5pXThD,anonymous,EN,United States,Missouri,No,Academic,,,,,,,,,,Public,Master's College or University,,,5800,,,,,,,,,,,,,,,
8/14/19 12:13,8/14/19 12:14,IP Address,100,44,TRUE,8/14/19 12:14,R_PNJe35FDS2sAzmx,anonymous,EN,USA,Missouri,No,Academic,,,,,,,,,,Private,Doctoral University,,,2500,,,,,,,,,,,,,,,
8/14/19 12:15,8/14/19 12:16,IP Address,100,46,TRUE,8/14/19 12:16,R_3F264ZsDnyBTB1j,anonymous,EN,United States,Maryland,No,Academic,,,,,,,,,,Public,Associate's College,,,3800,,,,,,,,,,,,,,,
8/14/19 12:16,8/14/19 12:18,IP Address,100,144,TRUE,8/14/19 12:18,R_1gNNolsZdYSb9hs,anonymous,EN,United States,Illinois,Yes,Public,,"Medium (Collection Size > 100,001 and < 500,000)",2014,Yes,No,,50+,No,,,,,,,,,,,,,,"3D Printer,Vinyl Cutter,Green Screen,Audio/Video Software,Audio/Video Equipment,Art/Crafting Supplies (Construction Paper, Paint, LEGO, etc.)",,"GIMP, Inkscape, Blender","Full-time dedicated staff,Part-time dedicated staff",,"We track sign-in/outs, and use that amount of time and the project type (photography, AV conversion etc) to track usage by topic",,
8/14/19 12:25,8/14/19 12:28,IP Address,100,170,TRUE,8/14/19 12:28,R_1jZkEnHgsj4wMZM,anonymous,EN,United States of America,Texas,Yes,Academic,,,2019,Yes,Yes,We charge (at cost) for any material used by the patrons.,31-40,,,Public,Baccalaureate/Associate's College,,,,Yes,Full-time Librarian/Faculty,No,,Yes,,,"3D Printer,Audio/Video Software,Microcontrollers,Raspberry Pi,VR Technology,Art/Crafting Supplies (Construction Paper, Paint, LEGO, etc.),Electronics Hardware (Capacitors, Resistors, Soldering Equipment, etc.)",,Cura 3D Modeling software,Full-time dedicated staff,,,Unknown,
8/14/19 12:14,8/14/19 12:32,IP Address,100,1065,TRUE,8/14/19 12:32,R_VU7Izzmf0qoMM9P,anonymous,EN,United States of America,New York,Yes,Academic,,,2015,Yes,No,,41-50,,,Private,Doctoral University,,,4000,No,,Yes,"anyone may use the maker space, the only restriction is that they be trained first.",No,No,"Our student government funds it, but they want it in the library.  They encourage anyone to use the space as long as they are trained.",3D Printer,,,Student volunteers,,Sign-in Logs,,
8/14/19 12:35,8/14/19 12:38,IP Address,100,190,TRUE,8/14/19 12:38,R_1IzQU3wEukXFqUS,anonymous,EN,Turkey ,,Yes,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/19 12:44,8/14/19 12:45,IP Address,100,69,TRUE,8/14/19 12:45,R_27ptlC0juaersEG,anonymous,EN,USA,Iowa,No,Academic,,,,,,,,,,Public,Doctoral University,,,37000,,,,,,,,,,,,,,,
8/14/19 12:46,8/14/19 12:50,IP Address,100,247,TRUE,8/14/19 12:50,R_3HA1ueZqJ4v3klb,anonymous,EN,USA,Massachusetts,Yes,Academic,,,Sep-16,Yes,No,,50+,,,Private,Master's College or University,,,4200,Yes,Full-time Librarian/Faculty,No,,No,No,,"3D Printer,Audio/Video Software,Audio/Video Equipment,Microcontrollers,Raspberry Pi,VR Technology,AR Technology,Art/Crafting Supplies (Construction Paper, Paint, LEGO, etc.),Electronics Hardware (Capacitors, Resistors, Soldering Equipment, etc.),Other",Desktop Router; 3D Scanners; 3D Design/CAD Software,Lots. Constantly ,"Student workers,Other",Managed by a Full-Time Co-Op Student.,"Statistics Collection. Includes usages of equipment, consumables, visits by students, tour counts, faculty usage, etc...",,
8/14/19 12:48,8/14/19 13:00,IP Address,100,682,TRUE,8/14/19 13:00,R_3GuFJPHrwE0688B,anonymous,EN,United States,Wyoming,Yes,Academic,,,2016,Yes,No,,31-40,,,Public,Doctoral University,,,12000,No,,No,,No,Yes,,"3D Printer,Vinyl Cutter,Microcontrollers,Raspberry Pi,VR Technology,Art/Crafting Supplies (Construction Paper, Paint, LEGO, etc.),Electronics Hardware (Capacitors, Resistors, Soldering Equipment, etc.)",,,"Full-time dedicated staff,Student workers,Student volunteers",,tic sheet,,
8/14/19 12:50,8/14/19 13:04,IP Address,100,882,TRUE,8/14/19 13:04,R_3OfcdJizqjVHm9D,anonymous,EN,USA,Massachusetts,Yes,Academic,,,2014,Yes,No,,50+,,,Public,Doctoral University,,,4,Yes,Full-time Librarian/Faculty,No,,No,,,"3D Printer,Green Screen,Audio/Video Software,Audio/Video Equipment,VR Technology,AR Technology",,,"Full-time dedicated staff,Student workers,Student volunteers",,,,
8/14/19 13:06,8/14/19 13:19,IP Address,100,797,TRUE,8/14/19 13:19,R_PNXffvLnB7sGUtH,anonymous,EN,United States of America,Virginia,Yes,Academic,,,2015,Yes,No,,50+,,,Public,Doctoral University,,,16800,No,,No,,Yes,Yes,,"3D Printer,Vinyl Cutter,Laser Cutter,Green Screen,Audio/Video Software,Audio/Video Equipment,Microcontrollers,Raspberry Pi,VR Technology,AR Technology,Art/Crafting Supplies (Construction Paper, Paint, LEGO, etc.),Electronics Hardware (Capacitors, Resistors, Soldering Equipment, etc.),Other",Sewing,"Inkscape, Blender, Audacity, 3D slicer, Cura, Scribus, FFmpeg, GIMP","Full-time dedicated staff,Part-time dedicated staff,Student workers",,"Most of our equipment and spaces are barcoded and checked out using the library's integrated library system (ILS), so we pull data from usage logs (anonymous). We also have a reservation system for select equipment and spaces that tells us a little about schools and project purposes.",,
8/14/19 12:36,8/14/19 13:49,IP Address,100,4374,TRUE,8/14/19 13:49,R_9FSmDRKdv5s1AqJ,anonymous,EN,United States,Texas,Yes,Academic,,,Oct-13,Yes,Yes,"We ask for reimbursement on some supplies like 3D printer resin or filament, wood, sign vinyl, etc. but not just to use the space. See http://makerlab.online/store/ for prices.",50+,,,Private,Master's College or University,,,5000,Yes,Staff,No,,,,,"3D Printer,Vinyl Cutter,Laser Cutter,Raspberry Pi,Art/Crafting Supplies (Construction Paper, Paint, LEGO, etc.),Electronics Hardware (Capacitors, Resistors, Soldering Equipment, etc.),Other","CNC, Sewing Machines, hand and power tools, woodworking saws, leather craft.  Some of the above items (AV stuff) we offer elsewhere in our library.","Sketchup, Blender, work with Inkscape","Full-time dedicated staff,Part-time dedicated staff,Student workers",,"door counts, number of people who signed in, number of academic classes using the makerspace for projects, programs and workshops attended",Unknown,
8/14/19 13:47,8/14/19 13:50,IP Address,100,199,TRUE,8/14/19 13:50,R_curfUHFETNBJKtr,anonymous,EN,United States,Colorado,Yes,Public,,"Medium (Collection Size > 100,001 and < 500,000)",2015,Yes,No,,21-30,No,,,,,,,,,,,,,,"3D Printer,Vinyl Cutter,Laser Cutter,Audio/Video Software,Audio/Video Equipment,Microcontrollers,Raspberry Pi,Art/Crafting Supplies (Construction Paper, Paint, LEGO, etc.),Electronics Hardware (Capacitors, Resistors, Soldering Equipment, etc.),Other",CNC machine and other wood working machines,,Full-time dedicated staff,,class and open hours attendance,,
8/14/19 14:14,8/14/19 14:14,IP Address,100,10,TRUE,8/14/19 14:14,R_3FWhPo2pB1iOQdK,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/19 14:10,8/14/19 14:16,IP Address,100,375,TRUE,8/14/19 14:16,R_pFakCqpTuZy2kaR,anonymous,EN,United States,Pennsylvania,Yes,Academic,,,2017,Yes,No,,20-Nov,,,Private,Doctoral University,,,4200,I don't know,,Yes,"Students, Faculty and Staff",No,No,,"3D Printer,Vinyl Cutter,Laser Cutter,Art/Crafting Supplies (Construction Paper, Paint, LEGO, etc.),Electronics Hardware (Capacitors, Resistors, Soldering Equipment, etc.)",,,Part-time dedicated staff,,,,
8/14/19 14:32,8/14/19 14:33,IP Address,100,9,TRUE,8/14/19 14:33,R_3ijQTsrYkWihEXX,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/19 14:35,8/14/19 14:37,IP Address,100,95,TRUE,8/14/19 14:37,R_3Ei4spfzhOGVOfL,anonymous,EN,US,NY,Yes,Public,,"Medium (Collection Size > 100,001 and < 500,000)",2014,Yes,No,,21-30,Yes,Teens,,,,,,,,,,,,,"3D Printer,Green Screen,Audio/Video Software,Audio/Video Equipment,VR Technology,AR Technology,Art/Crafting Supplies (Construction Paper, Paint, LEGO, etc.),Electronics Hardware (Capacitors, Resistors, Soldering Equipment, etc.)",,"LMMS, Blender","Full-time dedicated staff,Part-time dedicated staff,Student workers",,"Attendance stats, monthly newsletter",,
8/14/19 14:16,8/14/19 14:38,IP Address,100,1341,TRUE,8/14/19 14:38,R_1mmW4nIyEWPSBCH,anonymous,EN,US,TN,Yes,Academic,,,2015,Yes,No,,50+,,,Public,Doctoral University,,,10500,Yes,Full-time Librarian/Faculty,No,,Yes,No,,"3D Printer,Green Screen,Audio/Video Software,Audio/Video Equipment,Raspberry Pi,VR Technology",,,"Full-time dedicated staff,Student workers",,"Head Count, Survey (individual), Campus Wide ",,
8/15/19 5:53,8/15/19 5:53,IP Address,100,12,TRUE,8/15/19 5:53,R_2bV1c00Ku2XdbtK,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/19 7:37,8/15/19 7:38,IP Address,100,25,TRUE,8/15/19 7:38,R_vqpvTgJTB80jMmB,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/19 7:44,8/15/19 7:44,IP Address,100,7,TRUE,8/15/19 7:44,R_2WBfwxqQ18zjmBB,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/19 9:05,8/15/19 9:09,IP Address,100,228,TRUE,8/15/19 9:09,R_2dDXO3rWjY0rCVi,anonymous,EN,US,Georgia,Yes,Academic,,,2016,Yes,Yes,"2.00 file fee plus 10 cents per minute for the laser; 2.00 file fee and 10 cents per gram for 3D printing.  Vinyl cutting, sewing machines, embroidery machine, heat press all free.",50+,,,Private,Baccalaureate/Associate's College,,,600,No,,Yes,"students, faculty, staff, and approved alumnae",,,,"3D Printer,Vinyl Cutter,Laser Cutter,Green Screen,Audio/Video Software,Audio/Video Equipment,Art/Crafting Supplies (Construction Paper, Paint, LEGO, etc.),Other","sewing machine, embroidery machine, heat press",thingiverse,Student workers,,24 hour badge access is enabled for after passing a safety quiz,Unknown,
8/15/19 11:30,8/15/19 11:31,IP Address,100,39,TRUE,8/15/19 11:31,R_yQQtLItMHcD6vi9,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/19 11:45,8/15/19 11:47,IP Address,100,130,TRUE,8/15/19 11:47,R_2OYznIwuiNmldz1,anonymous,EN,United States,New Jersey ,Yes,Academic,,,2014,No,No,,21-30,,,Public,Baccalaureate/Associate's College,,,9000,Yes,Full-time Librarian/Faculty,No,,No,No,,"3D Printer,Audio/Video Software,Audio/Video Equipment,Microcontrollers,VR Technology,Art/Crafting Supplies (Construction Paper, Paint, LEGO, etc.),Electronics Hardware (Capacitors, Resistors, Soldering Equipment, etc.)",,,Part-time dedicated staff,,,,
8/15/19 12:34,8/15/19 12:37,IP Address,100,158,TRUE,8/15/19 12:37,R_12zN0UwTcuGfxjA,anonymous,EN,United States,Alabama,Yes,Academic,,,2015,Yes,No,,50+,,,Public,Master's College or University,,,2300,Yes,Full-time Librarian/Faculty,No,,No,No,,"3D Printer,Laser Cutter,Green Screen,Audio/Video Software,Audio/Video Equipment,Raspberry Pi,VR Technology",,,Full-time dedicated staff,,Recording number of classes and number of individual users ,,
8/15/19 13:23,8/15/19 13:23,IP Address,100,31,TRUE,8/15/19 13:23,R_6Rl88cVSKHaUdG1,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/19 14:34,8/15/19 14:36,IP Address,100,98,TRUE,8/15/19 14:36,R_114QGthd0BENSTg,anonymous,EN,United States,Michigan,Yes,Academic,,,Nov-18,Yes,No,,20-Nov,,,Public,Doctoral University,,,24000,Yes,Staff,No,,No,No,,"3D Printer,Microcontrollers,Raspberry Pi,Electronics Hardware (Capacitors, Resistors, Soldering Equipment, etc.)",,,Student volunteers,,Attendance records,,
8/15/19 15:08,8/15/19 15:15,IP Address,100,417,TRUE,8/15/19 15:15,R_1ouaQ6ruw50XExB,anonymous,EN,United States ,Nevada,Yes,Academic,,,2019,Yes,No,,31-40,,,Public,Doctoral University,,,,Yes,Administrator,Yes,"Current students, faculty and staff",No,No,,"3D Printer,Vinyl Cutter,Laser Cutter,Green Screen,Audio/Video Software,Audio/Video Equipment,VR Technology,Art/Crafting Supplies (Construction Paper, Paint, LEGO, etc.),Other",sewing machine,"tinkercad, cura, thingiverse","Full-time dedicated staff,Student workers",,"swipe in with student ID and staff keeps a log of patron interactions (including in-depth consultations, etc.)",,
8/15/19 15:47,8/15/19 15:48,IP Address,100,48,TRUE,8/15/19 15:48,R_2PoPcGbiGQ3GPsp,anonymous,EN,USA,Alabama,No,Academic,,,,,,,,,,Private,Master's College or University,,,1204,,,,,,,,,,,,,,,
8/16/19 7:31,8/16/19 7:32,IP Address,100,54,TRUE,8/16/19 7:32,R_1ptgQbWMNfVO0U1,anonymous,EN,USA,Alabama,No,Academic,,,,,,,,,,Public,Doctoral University,,,14000,,,,,,,,,,,,,,,
